ID,height_above
770,
771,
772,
773,
774,
775,
776,
777,
778,
779,
780,
781,
782,
783,
784,
785,
786,
787,
788,
789,
790,
791,
792,
793,
794,
795,
796,
797,
2495,
2496,0.954024
2499,0.902208
2500,1.130808
2502,0.890016
2506,0.557784
2508,0.957072
2521,0.10668
2528,1.225296
2542,1.08204
2543,0
2544,0.09144
2545,0
2546,0.3048
2547,0.27432
2548,0.3048
2549,2.4384
2550,0.329184
2552,0.28956
2555,0.9144
2687,1.31064
2688,1.95072
2689,2.1336
2690,2.1336
2691,
2692,0.28956
2693,2.660904
2694,0.088392
2695,2.801112
2704,0.06096
2705,0.762
2706,0
2707,
2708,1.353312
2709,1.389888
2710,
2711,1.53924
2712,
2713,1.3716
2714,1.9812
2715,1.700784
2716,2.078736
2725,0.972312
2726,0.728472
2727,0.618744
2728,0.810768
2729,2.161032
2730,2.404872
2731,1.289304
2732,1.87452
2733,1.15824
2734,1.834896
2735,0.41148
2736,0.576072
2737,2.215896
2738,0.51816
2739,2.130552
2740,2.478024
2741,2.618232
2742,1.892808
2743,2.112264
2744,1.335024
2745,1.139952
2748,1.411224
2749,
2750,0.762
2751,1.0668
2752,0.06096
2753,0
2754,1.6764
2755,1.40208
2756,1.0668
2757,1.31064
2758,1.31064
2759,1.3716
2760,1.3716
2761,1.46304
2762,1.31064
2763,0.79248
2764,0.70104
2765,0.3048
2766,1.6764
2767,1.6764
2768,1.8288
2769,
2770,1.88976
2771,
2772,
2773,
2774,1.12776
2775,0.6096
2776,1.88976
2777,2.1336
2778,2.07264
2779,1.9812
2780,2.25552
2781,2.31648
2782,1.560576
2783,2.017776
2784,1.594104
2785,2.215896
2790,1.292352
2791,2.25552
2792,1.682496
2793,1.222248
2800,1.73736
2801,1.40208
2802,0
2803,0.85344
2804,0.6096
2805,0.70104
2806,0.6096
2807,0.94488
2808,1.335024
2809,2.16408
2810,2.57556
2811,1.58496
2812,
2813,2.65176
2814,
2815,
2816,
2817,0
2818,1.524
2819,
2820,1.524
2821,2.49936
2822,2.65176
2823,2.49936
2824,2.52984
2829,1.46304
2839,2.200656
2840,1.92024
2841,1.959864
2842,2.410968
2843,2.584704
2844,2.538984
2845,1.591056
2846,1.58496
2847,1.66116
2848,1.72212
2849,1.761744
2850,2.33172
2851,2.10312
2852,1.078992
2853,1.50876
2863,1.43256
2864,1.46304
2865,2.34696
2866,1.2192
2867,
2868,0.1524
2869,2.49936
2872,
3193,1.045464
3194,0.576072
3195,0.545592
3196,0.094488
3197,0
3200,0
3201,0.432816
3202,0.387096
3203,0.451104
3204,0
3205,0.32004
3206,0.32004
3208,0.3048
3210,0.950976
3211,0.71628
3212,0.633984
3213,0.435864
3214,0.164592
3252,2.4384
3253,2.4384
3257,0
3258,0
3262,0.12192
3264,0.12192
3265,2.1336
3266,2.7432
3270,3.9624
3271,0
3274,1.2192
3275,2.4384
3324,3.61188
3325,0.2286
3327,0.246888
3328,0.204216
3329,0
3332,0.246888
3334,0
3476,0.085344
3477,0
3478,0.445008
3479,0.908304
3482,0
3483,0.542544
3484,0
3485,0
3486,0
3487,0
3488,0
3489,0
3490,0
3491,0
3492,0
3493,0.18288
3494,1.58496
3496,2.60604
3497,0
3546,0
3562,0
3563,0
3570,1.524
3571,1.292352
3572,0.920496
3573,2.62128
3574,1.716024
3575,1.450848
3582,0
3583,0
3585,0.341376
3586,0.432816
3587,0.908304
3592,0.423672
3593,0
3594,0.536448
3595,1.776984
3596,0.752856
3597,3.681984
3598,0.390144
3599,0.569976
3600,0.600456
3602,1.15824
3603,0.6096
3604,0.463296
3617,0
3618,0
3637,0
3640,0
3642,2.19456
3694,1.267968
3695,0
3696,
3698,0
3699,0.237744
3703,0.688848
3709,0
3712,0
3714,1.709928
3715,0
3716,1.734312
3717,
3719,0.94488
3720,0
3721,0.6096
3722,0
3723,0.8382
3725,
3727,
3728,0
3729,0
3730,0
3731,0.12192
3732,
3733,0.713232
3734,0.89916
3735,0.3048
3736,0
3740,0.57912
3741,
3746,0
3748,0.771144
3751,1.3716
3752,1.060704
3753,0.606552
3757,0.48768
3761,0.798576
3762,1.313688
3763,0
3764,0
3766,0.21336
3767,0
3773,1.469136
3774,0.4572
3775,0.762
3783,0
3785,0.146304
3788,0.06096
3856,
3858,0.490728
3859,
3861,1.00584
3872,1.8288
3911,0
3941,1.08204
3942,0.6858
3943,0
3944,0
3945,0.73152
3946,1.78308
3948,1.78308
3949,1.161288
3950,0.3048
3951,0
3952,0
3953,0
3954,2.10312
3955,0.88392
3956,0
3957,0
3958,0
3959,0.39624
3960,0
3961,0.28956
3962,0.292608
3963,0.3048
3967,0.28956
3968,0
3970,0.237744
3971,0.6096
3972,0.6096
3973,0.381
3976,0.19812
3993,0.341376
3996,0.341376
3998,1.133856
3999,0.67056
4001,0
4002,0
4032,0.633984
4035,0
4037,
4039,0
4042,0.41148
4052,0
4069,1.069848
4071,0
4078,0
4103,0.82296
4106,0
4111,0.33528
4215,0
4216,0
4264,0.88392
4265,1.3716
4268,0
4269,0.417576
4271,0.51816
4276,0.27432
4277,0.2286
4279,0
4280,0
4282,0
4284,0.65532
4286,0.59436
4324,0.82296
4325,0
4326,0.57912
4354,0.801624
4355,0.341376
4358,2.654808
4359,1.55448
4360,2.04216
4361,1.959864
4362,0
4363,0
4364,0
4365,0
4366,0.173736
4367,0.222504
4368,0.768096
4369,1.014984
4370,1.947672
4371,0.935736
4372,1.362456
4373,1.444752
4374,0.06096
4375,0.512064
4381,0
4382,0
4383,0
4384,0
4385,0
4386,0
4387,
4390,0
4391,0
4392,0
4393,0
4493,1.106424
4494,0.67056
4496,0
4497,0
4498,0
4499,0.509016
4525,1.313688
4526,1.23444
4537,1.05156
4538,1.359408
4548,0.390144
4549,0.112776
4550,
4551,1.353312
4552,1.32588
4553,1.61544
4554,0.67056
4555,0.649224
4734,
4772,0.1524
4777,
4837,0
4859,
4860,
4861,
4862,
4863,
4864,
4865,
4866,
4867,
4868,
4869,
4870,
4871,
4872,
4873,
4874,
4875,
4876,
4956,
4957,2.4384
4958,0.71628
4959,0.85344
4977,0.35052
4987,0.24384
5252,1.338072
5258,1.292352
5259,1.6002
5271,0.847344
5301,
5310,
5315,
5316,
5328,
5329,
5335,0.527304
5338,0.804672
5339,0.585216
5346,0.920496
5351,0.195072
5352,0.356616
5355,0.923544
5357,0.829056
5358,0.51816
5360,1.0668
5362,0.435864
5363,0.295656
5368,1.66116
5369,1.456944
5371,
5384,
5385,
5386,
5413,0.79248
5417,0.969264
5418,0.725424
5419,0.381
5420,1.039368
5421,1.298448
5422,0.252984
5424,0.771144
5425,0.246888
5435,1.23444
5436,1.09728
5447,1.34112
5448,0.115824
5449,0.356616
5453,0.06096
5454,0.1524
5460,0.21336
5462,0.323088
5463,0.54864
5464,0.377952
5465,
5466,0.530352
5467,0.893064
5468,1.389888
5469,0.56388
5470,0.41148
5471,0.542544
5472,1.374648
5473,0.387096
5474,0.780288
5477,0.3048
5478,0.33528
5479,0.70104
5480,0.67056
5482,0.3048
5483,0.3048
5485,0
5486,0.21336
5487,0.70104
5488,0.57912
5489,0.79248
5490,0.67056
5492,0
5493,0.09144
5494,0.67056
5495,0.6096
5496,1.03632
5497,1.03632
5498,0.762
5500,0.51816
5501,0.42672
5502,1.3716
5503,0.9144
5504,1.61544
5507,0.47244
5799,
5800,
5801,0.6096
5802,
5807,0.6096
5808,2.1662136
5809,2.7044904
5817,2.0461224
5830,1.4170152
5831,2.619756
5832,0.7187184
5836,1.171956
5837,1.184148
5838,0.6858
5839,1.856232
5840,0.298704
5841,0.310896
5843,2.65176
5844,2.30124
5853,1.58496
5854,0.59436
5855,2.30124
5856,1.118616
5857,1.075944
5858,1.93548
5859,0.33528
5860,3.328416
5861,3.10896
5862,
5863,0.86868
5865,
5869,
5870,1.88976
5871,2.051304
5872,
5878,
5879,
5880,2.86512
5881,1.926336
5886,0.871728
5887,1.7526
5889,0.801624
5894,0.734568
5895,0.451104
