feature,importance
latitude,0.036009492119310045
feelslike_c,0.03471048964871575
heatindex_c,0.032810779622838786
windchill_c,0.031896013480368135
longitude,0.028080550424217712
dewpoint_c,0.02642413825784771
pct_area_wetlands,0.024188915735065576
dem_mean,0.024183571457666024
dem_iqr,0.02357379999884337
gust_kph,0.023020575185777912
VH_VV_Ratio,0.02294957270886588
pct_area_1,0.02251009026363729
area_km_wetlands,0.02250439114733124
pressure_mb,0.022277812703580598
dem_max,0.022132764055950112
area_km_2,0.021793965281558192
VH_Mean,0.02166911249792223
pct_area_2,0.02150747403408367
VH_SD,0.021165513178887135
VH_IQR,0.02116223142327454
area_km_1,0.020854744559759386
VV_SD,0.020363116673896495
soil_moisture,0.020172961175498962
year,0.019402057481990375
VV_Mean,0.01919352581858714
dem_min,0.019127768891747957
area_km_shrubland,0.018107018820848367
pct_area_forest,0.017741744982686207
VV_IQR,0.017715151877110733
VH_Min,0.017669894732209392
area_km_forest,0.017135603943223058
pct_area_shrubland,0.01705369396548499
VV_Min,0.016885144150117614
cai_wetlands,0.016752569068654324
area_km_planted,0.016603205888023304
maxwind_kph_day,0.016579998972379956
humidity,0.015546140036360007
precip_mm,0.015080522849446389
VV_Max,0.014699987605212244
cai_1,0.013761153821840247
hour_sin,0.013403543553501892
wind_kph,0.013316033205577355
wind_degree,0.013108057391966976
pct_area_planted,0.013099056437977376
pct_area_herbaceous,0.012629501344278052
precipitation,0.01243365872662689
cai_forest,0.011755931241202076
area_km_herbaceous,0.011706894818037772
cai_planted,0.011608362960485372
day_sin,0.00889313905097494
cai_2,0.006971346114545205
VH_Max,0.004088624590024949
chance_of_rain,0.002914467749798483
vis_km,0.0027284458450672873
cai_shrubland,0.0027027367614083
cai_herbaceous,0.0025975626400852802
month_sin,0.0010253790276226076
uv,0.0
chance_of_snow,0.0
total_area_km2,0.0
