ID,peak_date,VV_Min,VV_Max,VV_Mean,VV_IQR,VV_SD,VH_Min,VH_Max,VH_Mean,VH_IQR,VH_SD,VH_VV_Ratio
14010,5/17/2019 1:47:45 PM,-48.93814,3.0084922,-17.855371,10.637405395507812,7.1812425,-54.49409,0.0,-27.766726,10.069967269897461,9.19123,1.5550909
14011,5/17/2019 1:47:45 PM,-48.93814,3.0084922,-17.898418,10.581421613693237,7.165497,-54.49409,0.0,-27.795769,10.06089735031128,9.189721,1.5529735
14021,3/17/2019 3:00:00 AM,-27.850687,16.436855,-10.43178,4.3685688972473145,4.0036254,-48.038734,10.377047,-18.038948,4.973664045333862,4.6877055,1.7292302
14022,3/17/2019 3:00:00 AM,-27.850687,16.436855,-10.4656925,4.342313766479492,3.9540381,-48.038734,10.377047,-18.105095,4.9495344161987305,4.5321255,1.7299471
14023,3/17/2019 3:00:00 AM,-27.850687,16.436855,-10.483575,4.351907730102539,3.90872,-48.038734,10.377047,-18.165564,4.947654724121094,4.379447,1.7327642
14059,3/17/2019 3:00:00 AM,-32.31513,13.327706,-10.771142,3.889604091644287,3.6063404,-47.30047,1.9179759,-17.632357,4.419871807098389,4.282677,1.6369997
14060,3/17/2019 3:00:00 AM,-32.31513,13.327706,-10.872848,3.8566207885742188,3.4819608,-47.30047,1.9179759,-17.799652,4.3907270431518555,3.9834876,1.6370736
14061,3/17/2019 3:00:00 AM,-32.31513,13.327706,-10.810161,3.867062568664551,3.5339677,-47.300137,1.9179759,-17.69045,4.401309013366699,4.1000605,1.6364651
14062,3/17/2019 3:00:00 AM,-32.31513,13.327706,-10.802199,3.870804786682129,3.5362766,-47.300137,1.9179759,-17.681353,4.410684585571289,4.1021547,1.6368289
14064,3/17/2019 3:00:00 AM,-32.31513,13.327706,-10.873194,3.855276107788086,3.4662325,-47.30047,1.9179759,-17.79842,4.371685028076172,3.9423966,1.6369082
14119,3/17/2019 3:00:00 AM,-27.142725,10.199703,-10.586191,4.021317481994629,3.4226267,-47.292274,10.217712,-17.787685,4.2855072021484375,4.1092896,1.6802725
14684,6/5/2019 5:00:00 AM,-47.140198,31.386703,-10.934704,6.2487709522247314,5.607361,-51.457447,8.434372,-19.332901,7.506007432937622,7.7209415,1.7680315
14685,6/5/2019 5:00:00 AM,-47.140198,31.386703,-10.934704,6.2487709522247314,5.607361,-51.457447,8.434372,-19.332901,7.506007432937622,7.7209415,1.7680315
14686,6/5/2019 5:00:00 AM,-45.22275,18.929155,-9.790531,4.1396496295928955,3.5870495,-51.310223,2.343128,-16.331596,4.414516448974609,4.250655,1.6681012
14687,6/5/2019 5:00:00 AM,-45.22275,18.929155,-9.790531,4.1396496295928955,3.5870495,-51.310223,2.343128,-16.331596,4.414516448974609,4.250655,1.6681012
14688,6/5/2019 5:00:00 AM,-45.22275,21.26879,-10.385563,4.228267192840576,3.9501746,-51.310223,6.232121,-17.032667,4.55733585357666,5.226764,1.6400331
14689,6/5/2019 5:00:00 AM,-45.22275,21.26879,-10.385563,4.228267192840576,3.9501746,-51.310223,6.232121,-17.032667,4.55733585357666,5.226764,1.6400331
14690,6/5/2019 5:00:00 AM,-48.33229,14.61898,-11.798228,6.4369306564331055,5.378229,-55.177185,0.4187767,-19.18037,7.146123886108398,7.657047,1.6256992
14691,6/5/2019 5:00:00 AM,-48.33229,14.61898,-11.798228,6.4369306564331055,5.378229,-55.177185,0.4187767,-19.18037,7.146123886108398,7.657047,1.6256992
14692,6/5/2019 12:00:00 PM,-48.28648,8.302679,-12.67098,5.765598297119141,5.04067,-50.951035,0.0,-20.313223,7.449416160583496,7.21859,1.6031295
14693,6/5/2019 12:00:00 PM,-48.28648,8.302679,-12.67098,5.765598297119141,5.04067,-50.951035,0.0,-20.313223,7.449416160583496,7.21859,1.6031295
14706,6/5/2019 6:00:00 AM,,,,,,,,,,,
14707,6/5/2019 6:00:00 AM,,,,,,,,,,,
14708,6/5/2019 10:00:00 AM,-48.369526,22.711477,-9.243487,4.515493750572205,4.3498735,-48.4853,6.845089,-16.65663,4.846622943878174,4.999483,1.8019854
14711,6/5/2019 10:00:00 AM,-48.369526,22.711477,-9.280433,4.505090236663818,4.3195257,-48.4853,6.845089,-16.722172,4.848111629486084,4.915802,1.8018742
14714,6/5/2019 3:45:00 PM,-23.668343,18.761429,-8.355341,3.959991931915283,3.6159132,-48.36055,5.171248,-15.684184,4.236563682556152,3.95486,1.8771447
14715,6/5/2019 3:45:00 PM,-25.064116,15.644663,-8.32824,3.9033570289611816,3.547142,-48.364197,5.171248,-15.520326,4.087830543518066,3.8828886,1.863578
14720,6/5/2019 6:00:00 AM,-48.369526,22.711477,-8.929962,4.493635416030884,4.2298455,-48.4853,5.144699,-16.591434,4.776946067810059,4.7483573,1.8579513
14721,6/5/2019 6:00:00 AM,-48.369526,22.711477,-8.929962,4.493635416030884,4.2298455,-48.4853,5.144699,-16.591434,4.776946067810059,4.7483573,1.8579513
14855,5/21/2019 5:00:00 AM,-24.72192,10.364028,-11.994087,3.1158642768859863,2.8718948,-44.0512,0.0,-18.745243,3.1247920989990234,3.051615,1.5628737
14856,5/21/2019 5:00:00 AM,-24.53239,4.0804243,-11.73382,3.3892412185668945,2.8526695,-47.464886,0.0,-18.179186,3.276968002319336,3.7967663,1.5492982
14925,5/22/2019 11:00:00 AM,-36.053093,17.108168,-10.6047,4.320451259613037,4.129191,-47.854496,2.03389,-17.497807,4.4010396003723145,4.909225,1.6500049
14926,5/22/2019 10:00:00 PM,-28.457842,15.273084,-10.802525,3.645556926727295,3.0549572,-48.834995,8.922545,-18.503866,5.083715200424194,4.2338586,1.7129205
14928,5/22/2019 10:00:00 PM,-28.457842,14.057913,-10.487444,3.693861484527588,3.1320198,-48.834995,6.618855,-17.690252,4.6519975662231445,4.0329123,1.686803
14930,5/22/2019 11:00:00 AM,-36.727753,14.738261,-11.112942,4.6700439453125,4.397403,-47.854496,0.0,-18.077509,4.938304901123047,5.375645,1.6267078
14931,5/22/2019 10:00:00 PM,-28.457842,9.041752,-10.426766,3.6007728576660156,2.9754746,-47.226894,0.0,-18.1108,5.3330419063568115,4.3115683,1.7369527
14932,5/22/2019 11:00:00 AM,-45.664402,13.645023,-11.760517,5.454256534576416,4.6990466,-47.855915,0.0,-18.4966,5.837634563446045,5.930069,1.572771
14943,5/22/2019 12:00:00 AM,-47.846806,10.835673,-11.710058,5.6280786991119385,4.4992704,-47.8492,0.0,-18.710352,6.136618375778198,5.7658257,1.5978018
14947,5/22/2019 12:00:00 AM,-28.970888,3.2076962,-10.311299,3.2296581268310547,2.9173892,-42.270077,0.0,-16.553211,3.38761568069458,3.553624,1.6053468
14948,5/22/2019 12:00:00 PM,-47.857544,15.564633,-12.421609,5.866323471069336,5.4396806,-48.54176,0.0,-18.836477,6.376826286315918,6.6906366,1.5164281
15096,5/22/2019 12:00:00 AM,-38.22843,11.194766,-10.641366,3.9620938301086426,3.8550084,-56.28992,0.0,-17.383158,4.0424113273620605,4.2909346,1.6335458
15101,5/22/2019 12:00:00 AM,-37.086758,9.490979,-10.69198,3.9208009243011475,3.4366772,-57.652977,0.0,-16.992687,4.072626352310181,4.186358,1.5892928
15105,5/22/2019 12:00:00 AM,-29.074278,5.5936446,-10.481884,3.3402490615844727,2.897676,-40.655727,0.0,-16.656525,3.4233922958374023,3.296278,1.5890774
15108,5/22/2019 12:00:00 AM,-29.074278,8.997585,-10.935811,3.7944912910461426,3.3290575,-48.91019,0.0,-17.393318,3.849245548248291,3.7818718,1.5904919
15110,5/22/2019 12:00:00 AM,-38.22843,11.194766,-11.006148,4.066463947296143,3.752741,-56.28992,0.0,-17.673326,3.967418670654297,3.9341052,1.6057686
15134,5/22/2019 12:00:00 AM,-29.074278,8.997585,-10.95579,3.8237788677215576,3.2185085,-48.91019,0.0,-17.418432,3.864928722381592,3.5365846,1.5898838
15137,5/22/2019 12:00:00 AM,-28.28572,8.997585,-10.837696,3.6662416458129883,3.2153678,-48.91019,0.0,-17.29697,3.619943618774414,3.641556,1.5960007
2495,10/11/2016 4:00:00 PM,-31.957788,21.923994,-9.565179,2.5519723892211914,3.2669623,-39.555897,0.0,-15.0236225,2.541396141052246,3.0325217,1.5706577
2496,10/11/2016 4:00:00 PM,-28.03112,21.923994,-9.719802,2.85031795501709,3.3009074,-37.458538,0.0,-15.284888,2.9834277629852295,3.363837,1.5725514
2499,10/11/2016 4:00:00 PM,-26.514137,21.923994,-9.627724,2.751462936401367,3.0409727,-36.506546,0.0,-15.249399,2.868082046508789,3.0549896,1.583905
2500,10/11/2016 4:00:00 PM,-31.189531,21.923994,-10.843233,4.2377729415893555,4.7538257,-42.242058,0.0,-16.27939,4.545881271362305,4.3660994,1.501341
2502,10/11/2016 4:00:00 PM,-30.194439,21.923994,-10.106654,3.031129837036133,3.9955869,-41.14067,0.0,-15.598132,3.1955928802490234,3.7246351,1.5433527
2506,10/11/2016 4:00:00 PM,-30.953712,21.923994,-11.028798,4.346652984619141,4.711546,-44.96309,1.0454884,-16.622044,4.8774824142456055,4.3892784,1.5071491
2508,10/11/2016 4:00:00 PM,-30.194439,21.923994,-9.983982,3.0549309253692627,3.8080835,-41.14067,0.0,-15.490655,3.1908626556396484,3.7383752,1.5515507
2521,10/12/2016 4:00:00 PM,-26.654915,0.0,-9.965216,3.0980911254882812,2.5687351,-33.90248,0.0,-15.177612,3.2519569396972656,2.9386516,1.5230591
2528,10/11/2016 4:00:00 PM,-26.514137,21.923994,-9.523313,2.6810827255249023,2.8785794,-33.863712,0.0,-15.163264,2.802271842956543,2.9134612,1.5922258
2542,10/12/2016 4:00:00 PM,-28.497852,2.8078737,-9.779696,3.048661231994629,2.5948784,-33.90248,0.0,-15.001386,3.1371641159057617,2.8882568,1.5339316
2543,10/12/2016 4:00:00 PM,-21.511356,2.8078737,-9.373474,2.781251907348633,2.2526214,-27.798069,0.0,-14.469407,2.7965126037597656,2.621812,1.5436547
2544,10/12/2016 4:00:00 PM,-21.511356,2.8078737,-9.451759,2.809454917907715,2.211039,-26.544802,0.0,-14.620697,2.824899673461914,2.4835622,1.5468757
2545,10/12/2016 4:00:00 PM,-28.497852,1.0649427,-9.586575,2.7809524536132812,2.4240425,-33.90248,0.0,-14.701956,2.784891128540039,2.6955209,1.5335984
2546,10/12/2016 4:00:00 PM,-26.654915,1.5501325,-10.13214,3.071639060974121,2.5333908,-33.90248,0.0,-15.559951,3.4945430755615234,2.9423418,1.5357023
2547,10/12/2016 4:00:00 PM,-26.654915,0.0,-10.046309,3.0494117736816406,2.5027404,-33.90248,0.0,-15.377605,3.372709274291992,2.8487847,1.5306721
2548,10/12/2016 4:00:00 PM,-28.497852,0.0,-9.97397,3.005331039428711,2.627987,-33.90248,0.0,-15.260807,3.312760353088379,3.0033646,1.5300634
2549,10/12/2016 4:00:00 PM,-28.497852,0.0,-9.984664,3.020397186279297,2.6277714,-33.90248,0.0,-15.269874,3.3196258544921875,3.003286,1.5293328
2550,10/12/2016 4:00:00 PM,-28.497852,0.0,-9.983055,3.017820358276367,2.63134,-33.90248,0.0,-15.269604,3.323073387145996,3.0064306,1.5295522
2552,10/12/2016 4:00:00 PM,-28.497852,0.0,-10.066403,2.967365026473999,2.4739544,-33.90248,0.0,-15.415761,3.3429059982299805,2.7096794,1.531407
2555,10/12/2016 4:00:00 PM,-28.497852,0.0,-9.979885,3.006913185119629,2.6292431,-33.90248,0.0,-15.273683,3.3376808166503906,3.0172722,1.5304468
2687,10/12/2016 4:00:00 PM,-19.703426,0.0,-10.423465,2.562840461730957,2.058712,-27.84838,0.0,-15.30168,2.410980224609375,2.2667477,1.4680032
2688,10/12/2016 4:00:00 PM,-19.703426,0.0,-10.415765,2.5557167530059814,2.0539324,-27.84838,0.0,-15.287001,2.4140727519989014,2.265492,1.4676791
2689,10/12/2016 4:00:00 PM,-19.703426,0.0,-10.414548,2.5575549602508545,2.0543218,-27.84838,0.0,-15.287276,2.4134624004364014,2.2665365,1.467877
2690,10/12/2016 4:00:00 PM,-19.703426,0.0,-10.432194,2.561652421951294,2.058184,-27.84838,0.0,-15.30972,2.3969030380249023,2.2592595,1.4675456
2691,10/12/2016 4:00:00 PM,-18.916939,3.3840508,-10.018564,2.6080243587493896,2.182532,-28.955864,0.0,-15.17902,2.7768893241882324,2.73883,1.5150894
2692,10/12/2016 4:00:00 PM,-35.123985,4.9985466,-11.03785,4.425998687744141,4.30746,-44.485252,0.0,-16.394299,4.528327941894531,4.1855955,1.48528
2693,10/12/2016 4:00:00 PM,-35.123985,4.9985466,-11.133024,4.65007209777832,4.443654,-44.485252,0.0,-16.47024,4.763767242431641,4.3925424,1.479404
2694,10/12/2016 4:00:00 PM,-27.579254,1.9753467,-9.453058,2.7147516012191772,3.2642503,-36.52134,0.0,-14.833361,2.7305519580841064,3.4118388,1.56916
2695,10/12/2016 4:00:00 PM,-27.579254,1.9753467,-9.370981,2.660203456878662,3.0080705,-36.52134,0.0,-14.921904,2.7608213424682617,3.0005317,1.5923523
2704,10/12/2016 4:00:00 PM,-27.860012,1.3948896,-10.312091,2.877152681350708,2.5195153,-36.18325,0.0,-15.357485,2.8823585510253906,2.7790596,1.4892697
2705,10/12/2016 4:00:00 PM,-27.860012,1.3948896,-10.270252,2.8630900382995605,2.4790306,-36.18325,0.0,-15.306266,2.860184669494629,2.7290533,1.4903495
2706,10/12/2016 4:00:00 PM,-21.604807,9.093911,-9.199505,2.4681811332702637,2.1202672,-30.040697,0.0,-14.576954,2.566783905029297,2.502376,1.5845368
2707,10/12/2016 4:00:00 PM,-25.22665,0.0,-10.507825,2.7592289447784424,2.327103,-34.828182,0.0,-15.824669,3.0714213848114014,2.7672071,1.5059891
2708,10/12/2016 4:00:00 PM,-25.821657,0.0,-9.416768,2.7183704376220703,2.501288,-33.212353,0.0,-14.7967415,2.650282859802246,2.6965263,1.5713185
2709,10/12/2016 4:00:00 PM,-25.821657,0.0,-9.416768,2.7183704376220703,2.501288,-33.212353,0.0,-14.7967415,2.650282859802246,2.6965263,1.5713185
2710,10/12/2016 4:00:00 PM,-25.821657,0.0,-9.533984,2.772454261779785,2.5203207,-33.212353,0.0,-14.908208,2.689483642578125,2.7348242,1.5636913
2711,10/12/2016 4:00:00 PM,-25.821657,0.0,-9.56304,2.811037540435791,2.545011,-33.212353,0.0,-14.9352455,2.762091636657715,2.7687907,1.5617676
2712,10/12/2016 4:00:00 PM,-25.821657,0.0,-9.427626,2.7381057739257812,2.5898306,-33.212353,0.0,-14.784642,2.650236129760742,2.8825152,1.5682254
2713,10/12/2016 4:00:00 PM,-19.718063,0.0,-9.497272,2.895212173461914,2.2873452,-27.593222,0.0,-14.73567,2.882105827331543,2.519687,1.5515687
2714,10/12/2016 4:00:00 PM,-19.718063,0.0,-9.498011,2.896148681640625,2.288191,-27.593222,0.0,-14.734933,2.883906364440918,2.5209932,1.5513704
2715,10/12/2016 4:00:00 PM,-23.430658,0.0,-9.569498,3.051701545715332,2.410858,-34.28993,0.0,-14.899818,3.127171516418457,2.7625828,1.5570115
2716,10/12/2016 4:00:00 PM,-23.430658,0.0,-9.569499,3.051701545715332,2.410858,-34.28993,0.0,-14.899818,3.127171516418457,2.7625828,1.5570114
2725,10/11/2016 4:00:00 PM,-26.719345,0.0,-9.837544,2.9150123596191406,2.5712879,-32.588474,0.0,-15.445889,3.0435266494750977,2.8477285,1.570096
2726,10/11/2016 4:00:00 PM,-26.719345,0.0,-9.824833,2.920351028442383,2.5802069,-32.588474,0.0,-15.436853,3.0410966873168945,2.84846,1.5712078
2727,10/11/2016 4:00:00 PM,-26.719345,0.0,-9.835564,2.936321258544922,2.6144235,-39.29591,0.0,-15.455698,3.0490875244140625,2.8647432,1.5714095
2728,10/11/2016 4:00:00 PM,-26.719345,0.0,-9.806232,2.948317527770996,2.674583,-39.29591,0.0,-15.406051,3.064382553100586,3.0220115,1.5710468
2729,10/11/2016 4:00:00 PM,-26.719345,0.0,-9.832829,2.9223079681396484,2.5901864,-32.588474,0.0,-15.4493885,3.046626091003418,2.8597188,1.5712048
