UMAP1,UMAP2,ID,height_above,labels_k2,labels_k3,labels_k4,labels_k5,labels_k6,labels_k7,labels_k8,labels_k9,labels_k10
13.343689,11.239347,2802,0.0,0,2,2,2,2,6,6,6,6
0.72186685,12.602516,6660,0.173736,1,0,0,0,5,5,5,5,5
6.287788,3.0183907,3597,3.681984,0,1,1,1,0,2,2,0,1
10.843772,1.7468224,3546,0.0,0,1,1,1,0,2,2,0,1
7.325669,1.8419516,4001,0.0,0,1,1,1,0,2,2,0,1
13.780795,9.905643,6106,0.8382,0,2,2,2,2,6,6,6,6
7.6889176,18.730566,7460,1.118616,1,0,0,0,1,0,3,3,3
12.138311,2.3144753,3736,0.0,0,1,1,1,0,2,2,0,1
10.455017,0.90567636,3856,0.7213600000000001,0,1,1,1,0,2,2,0,1
6.3358135,12.260382,7326,1.078992,1,0,0,0,1,0,1,1,0
18.962412,-3.601258,7824,0.9144,0,1,1,1,0,1,0,2,2
3.5692809,12.048393,5503,0.9144,1,0,0,0,5,5,5,5,5
10.144385,6.439562,3204,0.0,0,1,1,1,0,2,2,0,4
-7.684831,6.839556,5424,0.771144,1,0,3,3,3,3,7,7,7
7.3559165,18.433908,7363,0.414528,1,0,0,0,1,0,3,3,3
7.70436,2.780183,14689,0.2286,0,1,1,1,0,2,2,0,1
15.60652,9.664109,2757,1.31064,0,2,2,2,2,6,6,6,6
16.364408,9.859438,2706,0.0,0,2,2,2,2,6,6,6,6
8.202987,18.476286,8054,0.0,1,0,0,0,1,0,3,3,3
7.55554,18.943722,7473,0.704088,1,0,0,0,1,0,3,3,3
4.9085813,16.578243,7617,1.524,1,0,0,0,1,0,3,3,3
5.4842067,17.380917,7652,0.524256,1,0,0,0,1,0,3,3,3
6.329077,11.943881,7700,0.618744,1,0,0,0,1,0,1,1,0
1.7345595,12.730719,6092,0.954024,1,0,0,0,5,5,5,5,5
15.92082,11.745463,2689,2.1336,0,2,2,2,2,6,6,6,6
12.490689,24.28926,7558,0.21336,1,0,0,4,4,4,4,4,9
11.786089,4.6093554,3477,0.0,0,1,1,1,0,2,2,0,4
2.2853298,13.645939,6548,1.32588,1,0,0,0,5,5,5,5,5
11.085404,2.5000253,4366,0.173736,0,1,1,1,0,2,2,0,1
16.046368,11.928532,2765,0.3048,0,2,2,2,2,6,6,6,6
6.247595,13.962004,7351,0.03048,1,0,0,0,1,0,1,1,0
12.030908,23.856571,7525,0.984504,1,0,0,4,4,4,4,4,9
5.1639504,17.17245,7444,0.603504,1,0,0,0,1,0,3,3,3
5.0817523,14.032465,7295,0.4032504,1,0,0,0,1,0,1,1,0
3.356555,11.967547,5259,1.6002,1,0,0,0,5,5,5,5,5
16.848896,11.084248,2726,0.728472,0,2,2,2,2,6,6,6,6
12.778412,-2.7485728,14060,0.71628,0,1,1,1,0,1,0,2,2
14.248574,10.101261,6593,1.322832,0,2,2,2,2,6,6,6,6
-0.80715084,14.679122,8064,0.9144,1,0,0,0,5,5,5,5,5
0.7808149,12.519162,6584,0.0,1,0,0,0,5,5,5,5,5
11.908781,6.2081513,3586,0.432816,0,1,1,1,0,2,2,0,4
3.3933468,11.788203,5496,1.03632,1,0,0,0,5,5,5,5,5
0.90342975,12.087191,6598,0.0,1,0,0,0,5,5,5,5,5
5.1915174,17.13034,7624,1.453896,1,0,0,0,1,0,3,3,3
7.3231125,1.8023126,3714,1.709928,0,1,1,1,0,2,2,0,1
9.573134,7.552032,4392,0.0,0,1,1,1,0,2,2,0,4
-7.5904484,6.9322267,5462,0.323088,1,0,3,3,3,3,7,7,7
16.399221,8.476876,2846,1.58496,0,2,2,2,2,6,6,6,6
-7.5081406,6.824208,5449,0.356616,1,0,3,3,3,3,7,7,7
-7.4589987,6.843776,5507,0.47244,1,0,3,3,3,3,7,7,7
2.3159058,-3.2856328,2791,2.25552,0,1,1,1,0,1,0,8,8
15.858497,11.726415,2687,1.31064,0,2,2,2,2,6,6,6,6
-7.647667,6.9224386,5463,0.54864,1,0,3,3,3,3,7,7,7
9.611921,11.070307,6269,1.069848,1,0,0,0,1,0,1,1,0
15.446707,23.02433,7402,0.646176,1,0,0,4,4,4,4,4,9
8.995283,17.335512,7483,0.35052,1,0,0,0,1,0,3,3,3
3.1745927,11.713545,5454,0.1524,1,0,0,0,5,5,5,5,5
5.604295,12.447333,7224,0.551688,1,0,0,0,1,0,1,1,0
7.159974,2.8795042,6031,1.459992,0,1,1,1,0,2,2,0,1
14.427839,9.741621,6302,1.499616,0,2,2,2,2,6,6,6,6
12.160841,3.5037706,4859,0.4826,0,1,1,1,0,2,2,0,4
16.313135,10.527108,2709,1.389888,0,2,2,2,2,6,6,6,6
10.845886,1.2014077,3773,1.469136,0,1,1,1,0,2,2,0,1
4.9975114,14.225202,7668,1.261872,1,0,0,0,1,0,1,1,0
6.065529,13.689437,7377,0.240792,1,0,0,0,1,0,1,1,0
11.624228,-2.1627667,15108,1.15316,0,1,1,1,0,1,0,2,2
7.3980937,1.7441547,3599,0.569976,0,1,1,1,0,2,2,0,1
-0.14550744,12.708789,6537,1.685544,1,0,0,0,5,5,5,5,5
6.35759,11.938622,7238,0.280416,1,0,0,0,1,0,1,1,0
12.380192,24.25229,7548,0.118872,1,0,0,4,4,4,4,4,9
